season,away_team,home_team,plus_minus_diff,netrtg_diff,pie_diff,winner
1999,DENVER NUGGETS,DALLAS MAVERICKS,4.2,4.6,3.2,1
1999,ATLANTA HAWKS,HOUSTON ROCKETS,-0.6,-0.6,-0.2,0
1999,LOS ANGELES LAKERS,LOS ANGELES CLIPPERS,-11.8,-12.9,-12.5,0
1999,MINNESOTA TIMBERWOLVES,NEW YORK KNICKS,0.6,0.7,2.2,1
1999,PHOENIX SUNS,VANCOUVER GRIZZLIES,-11,-11.5,-10.2,0
1999,SACRAMENTO KINGS,WASHINGTON WIZARDS,-1.8,-1.9,-1.8,0
1999,NEW YORK KNICKS,BOSTON CELTICS,-2.9,-3.3,-4.2,1
1999,PORTLAND TRAIL BLAZERS,CHARLOTTE HORNETS,-6.5,-6.6,-4.5,1
1999,MILWAUKEE BUCKS,DENVER NUGGETS,-8.3,-9.1,-7,1
1999,MIAMI HEAT,DETROIT PISTONS,-1.6,-1.8,-4.5,1
1999,PHOENIX SUNS,GOLDEN STATE WARRIORS,-4.8,-5.1,-6.3,1
1999,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,11.8,12.9,12.5,1
1999,INDIANA PACERS,ORLANDO MAGIC,-1.1,-1.7,-0.7,1
1999,SAN ANTONIO SPURS,SEATTLE SUPERSONICS,-9.2,-10,-9.2,1
1999,MINNESOTA TIMBERWOLVES,TORONTO RAPTORS,-2,-2.4,-0.4,1
1999,DALLAS MAVERICKS,UTAH JAZZ,8.9,10.1,11.7,1
1999,CHARLOTTE HORNETS,CHICAGO BULLS,-9.4,-10.4,-9.1,1
1999,SACRAMENTO KINGS,DALLAS MAVERICKS,-2,-2.3,-2,1
1999,ATLANTA HAWKS,LOS ANGELES CLIPPERS,-11.7,-12.7,-12.3,0
1999,BOSTON CELTICS,NEW JERSEY NETS,-1.9,-2.1,-0.7,0
1999,HOUSTON ROCKETS,VANCOUVER GRIZZLIES,-11,-11.8,-9.6,0
1999,PORTLAND TRAIL BLAZERS,WASHINGTON WIZARDS,-8.6,-8.9,-8,0
1999,VANCOUVER GRIZZLIES,DENVER NUGGETS,2.1,2,1.5,1
1999,NEW YORK KNICKS,DETROIT PISTONS,2.4,2.8,0,1
1999,HOUSTON ROCKETS,LOS ANGELES LAKERS,0.7,0.8,0.4,1
1999,ORLANDO MAGIC,MIAMI HEAT,2.4,3.2,4.1,1
1999,PHILADELPHIA 76ERS,MILWAUKEE BUCKS,-0.4,-0.6,-0.6,0
1999,PORTLAND TRAIL BLAZERS,MINNESOTA TIMBERWOLVES,-6,-6.1,-6.3,0
1999,GOLDEN STATE WARRIORS,PHOENIX SUNS,4.8,5.1,6.3,1
1999,UTAH JAZZ,SAN ANTONIO SPURS,1.6,1.7,-0.9,0
1999,CHICAGO BULLS,TORONTO RAPTORS,7.9,8.5,6.9,0
1999,NEW JERSEY NETS,BOSTON CELTICS,1.9,2.1,0.7,0
1999,TORONTO RAPTORS,CHARLOTTE HORNETS,1.5,1.9,2.2,1
1999,CLEVELAND CAVALIERS,NEW YORK KNICKS,2.7,3.1,2.2,1
1999,ATLANTA HAWKS,ORLANDO MAGIC,-0.3,-0.5,-0.6,1
1999,LOS ANGELES LAKERS,PHOENIX SUNS,-0.7,-1.1,0.2,0
1999,SEATTLE SUPERSONICS,SACRAMENTO KINGS,0.7,0.5,0.4,0
1999,PHILADELPHIA 76ERS,WASHINGTON WIZARDS,-4.3,-4.7,-4.2,0
1999,WASHINGTON WIZARDS,ATLANTA HAWKS,5.1,5.4,4.9,0
1999,DETROIT PISTONS,CHICAGO BULLS,-12.9,-14.4,-9.5,0
1999,BOSTON CELTICS,CLEVELAND CAVALIERS,0.2,0.2,2,1
1999,LOS ANGELES CLIPPERS,DALLAS MAVERICKS,6.4,6.9,7.2,1
1999,SAN ANTONIO SPURS,HOUSTON ROCKETS,-5.8,-6.6,-5.9,0
1999,DENVER NUGGETS,INDIANA PACERS,10.3,11.6,8.4,1
1999,NEW YORK KNICKS,MIAMI HEAT,4,4.6,4.5,1
1999,GOLDEN STATE WARRIORS,MINNESOTA TIMBERWOLVES,2.9,3.4,2.7,1
1999,MILWAUKEE BUCKS,NEW JERSEY NETS,-5.5,-6,-4.6,0
1999,UTAH JAZZ,PORTLAND TRAIL BLAZERS,-0.1,-0.8,-3.5,1
1999,SACRAMENTO KINGS,VANCOUVER GRIZZLIES,-8.3,-8.9,-6.7,0
1999,PHOENIX SUNS,LOS ANGELES LAKERS,0.7,1.1,-0.2,1
1999,GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,4.2,4.7,4.6,1
1999,CHARLOTTE HORNETS,ORLANDO MAGIC,2.7,2.6,0.8,1
1999,CHICAGO BULLS,PHILADELPHIA 76ERS,11.6,12.8,9.8,1
1999,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,-6.8,-7,-6.2,0
